table_schema,table_name,field_name,field_order,field_type,required,primary_key,foreign_key,linked_schema,linked_table,linked_field,value_set_name,definition,null_semantics,validation_rule,introduced_version,deprecated_version,active
control,chamber,jurisdiction_scope,5,VARCHAR,True,False,False,,,,,Field jurisdiction_scope in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,chamber,active,6,BOOLEAN,True,False,False,,,,,Field active in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,value_set_name,1,VARCHAR,True,True,False,,,,,Field value_set_name in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,value_code,2,VARCHAR,True,True,False,,,,,Field value_code in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,display_name,3,VARCHAR,True,False,False,,,,,Field display_name in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,description,4,VARCHAR,False,False,False,,,,,Field description in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,sort_order,5,INTEGER,True,False,False,,,,,Field sort_order in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,valid_from,6,DATE,False,False,False,,,,,Field valid_from in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,valid_to,7,DATE,False,False,False,,,,,Field valid_to in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,controlled_value,active,8,BOOLEAN,True,False,False,,,,,Field active in control.controlled_value.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,release_id,1,VARCHAR,True,True,False,,,,,Field release_id in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,schema_version,2,VARCHAR,True,False,True,control,schema_version,schema_version,,Field schema_version in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,release_status,3,VARCHAR,True,False,False,,,,,Field release_status in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,release_started_at,4,TIMESTAMP WITH TIME ZONE,True,False,False,,,,,Field release_started_at in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,published_at,5,TIMESTAMP WITH TIME ZONE,False,False,False,,,,,Field published_at in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,created_by,6,VARCHAR,True,False,False,,,,,Field created_by in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,database_release,notes,7,VARCHAR,False,False,False,,,,,Field notes in control.database_release.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,election_type,election_type_id,1,VARCHAR,True,True,False,,,,,Field election_type_id in control.election_type.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,election_type,election_type_code,2,VARCHAR,True,False,False,,,,,Field election_type_code in control.election_type.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,election_type,election_type_name,3,VARCHAR,True,False,False,,,,,Field election_type_name in control.election_type.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,election_type,description,4,VARCHAR,False,False,False,,,,,Field description in control.election_type.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,election_type,active,5,BOOLEAN,True,False,False,,,,,Field active in control.election_type.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,electoral_authority,authority_id,1,VARCHAR,True,True,False,,,,,Field authority_id in control.electoral_authority.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
